module_presentation,date,total_clicks
BBB_2014J,236,21336
BBB_2014J,237,10530
CCC_2014B,-18,11807
CCC_2014B,0,14640
CCC_2014B,1,15525
CCC_2014B,2,15966
CCC_2014B,3,16406
CCC_2014B,4,15660
CCC_2014B,5,15061
CCC_2014B,6,11468
CCC_2014B,7,11541
CCC_2014B,8,15910
CCC_2014B,9,15766
CCC_2014B,10,17275
CCC_2014B,11,16293
CCC_2014B,12,15136
CCC_2014B,13,15006
CCC_2014B,14,18728
CCC_2014B,15,24239
CCC_2014B,16,32470
CCC_2014B,17,39567
CCC_2014B,18,42454
CCC_2014B,25,10152
CCC_2014B,29,10809
CCC_2014B,30,14215
CCC_2014B,31,15250
CCC_2014B,32,12874
CCC_2014B,61,10600
CCC_2014B,63,11704
CCC_2014B,64,17535
CCC_2014B,65,21831
CCC_2014B,66,25642
CCC_2014B,67,36841
CCC_2014B,100,10700
CCC_2014B,101,10997
CCC_2014B,134,14789
CCC_2014B,135,21905
CCC_2014B,136,27802
CCC_2014B,137,37174
CCC_2014B,197,10326
CCC_2014B,198,10429
CCC_2014B,199,11472
CCC_2014B,200,10141
CCC_2014B,205,15134
CCC_2014B,206,20644
CCC_2014B,207,26953
CCC_2014B,221,12649
CCC_2014B,222,11492
CCC_2014B,224,10718
CCC_2014B,225,13265
CCC_2014B,226,16654
CCC_2014B,227,22173
CCC_2014B,228,10475
CCC_2014J,-18,16784
CCC_2014J,-3,10025
CCC_2014J,0,16563
CCC_2014J,1,17293
CCC_2014J,2,22395
CCC_2014J,3,22674
CCC_2014J,4,20822
CCC_2014J,5,20262
CCC_2014J,6,17246
CCC_2014J,7,15560
CCC_2014J,8,20039
CCC_2014J,9,25596
CCC_2014J,10,24944
CCC_2014J,11,25169
CCC_2014J,12,22264
CCC_2014J,13,23414
CCC_2014J,14,24763
CCC_2014J,15,35814
CCC_2014J,16,43071
CCC_2014J,17,46812
CCC_2014J,18,50543
CCC_2014J,19,14800
CCC_2014J,20,12550
CCC_2014J,21,10207
CCC_2014J,22,12442
CCC_2014J,23,16141
CCC_2014J,24,13180
CCC_2014J,25,13141
CCC_2014J,26,12457
CCC_2014J,27,13209
CCC_2014J,28,11100
CCC_2014J,29,14710
CCC_2014J,30,19309
CCC_2014J,31,19851
CCC_2014J,32,16449
CCC_2014J,33,12073
CCC_2014J,38,10027
CCC_2014J,44,10114
CCC_2014J,54,12274
CCC_2014J,58,11745
CCC_2014J,59,12885
CCC_2014J,60,12593
CCC_2014J,61,11978
CCC_2014J,62,11724
CCC_2014J,63,12199
CCC_2014J,64,21480
CCC_2014J,65,29381
CCC_2014J,66,37517
CCC_2014J,67,45892
CCC_2014J,106,12041
CCC_2014J,107,12399
CCC_2014J,108,15035
CCC_2014J,109,16028
CCC_2014J,135,10450
CCC_2014J,136,10478
CCC_2014J,137,12295
CCC_2014J,138,11745
CCC_2014J,139,10603
CCC_2014J,140,13763
CCC_2014J,141,19929
CCC_2014J,142,27645
CCC_2014J,143,37200
CCC_2014J,144,49710
CCC_2014J,145,10061
CCC_2014J,155,10047
CCC_2014J,156,10212
CCC_2014J,157,10484
CCC_2014J,158,10143
CCC_2014J,204,10817
CCC_2014J,205,10893
CCC_2014J,206,13642
CCC_2014J,207,12038
CCC_2014J,208,11507
CCC_2014J,209,10051
CCC_2014J,210,11939
CCC_2014J,211,16393
CCC_2014J,212,22071
CCC_2014J,213,31649
CCC_2014J,214,41367
CCC_2014J,226,10222
CCC_2014J,227,11565
CCC_2014J,228,11892
CCC_2014J,229,10614
CCC_2014J,233,13234
CCC_2014J,234,15521
CCC_2014J,235,17065
CCC_2014J,236,16408
CCC_2014J,237,17917
CCC_2014J,238,21039
CCC_2014J,239,29086
CCC_2014J,240,40293
CCC_2014J,241,19799
DDD_2013B,1,10873
DDD_2013B,2,13183
DDD_2013B,3,12481
DDD_2013B,4,10782
DDD_2013B,8,10102
DDD_2013B,9,11960
DDD_2013B,16,14292
DDD_2013B,17,12776
DDD_2013B,18,14365
DDD_2013B,19,12992
DDD_2013B,20,11563
DDD_2013B,21,10731
DDD_2013B,22,16262
DDD_2013B,23,17734
DDD_2013B,24,18871
DDD_2013B,25,16084
DDD_2013B,26,10067
DDD_2013B,30,10715
DDD_2013B,50,11769
DDD_2013B,51,14659
DDD_2013B,52,15609
DDD_2013B,53,11375
DDD_2013B,79,10297
DDD_2013B,115,10805
DDD_2013B,116,11087
DDD_2013J,-18,21611
DDD_2013J,-17,10184
DDD_2013J,-4,10097
DDD_2013J,0,12929
DDD_2013J,1,12246
DDD_2013J,2,15356
DDD_2013J,3,13489
DDD_2013J,4,14037
DDD_2013J,5,11356
DDD_2013J,6,10712
DDD_2013J,8,10850
DDD_2013J,9,15510
DDD_2013J,10,13840
DDD_2013J,11,11759
DDD_2013J,15,10793
DDD_2013J,16,13887
DDD_2013J,17,12904
DDD_2013J,18,12388
DDD_2013J,19,10345
DDD_2013J,20,10897
DDD_2013J,21,12192
DDD_2013J,22,15502
DDD_2013J,23,18860
DDD_2013J,24,20314
DDD_2013J,25,16611
DDD_2013J,26,10947
DDD_2013J,30,11929
DDD_2013J,31,11927
DDD_2013J,32,10406
DDD_2013J,43,14208
DDD_2013J,44,10834
DDD_2013J,50,11119
DDD_2013J,51,14751
DDD_2013J,52,18289
DDD_2013J,53,12736
DDD_2013J,87,10436
DDD_2013J,121,10600
DDD_2013J,122,12215
DDD_2013J,123,10880
DDD_2013J,128,10160
DDD_2013J,129,10955
DDD_2013J,135,10607
DDD_2013J,164,11433
DDD_2013J,206,10249
DDD_2013J,228,10120
DDD_2013J,229,10141
DDD_2013J,232,13290
DDD_2013J,233,21474
DDD_2014B,2,11447
DDD_2014B,3,10321
DDD_2014B,9,10138
DDD_2014B,23,12033
DDD_2014B,24,12591
DDD_2014B,25,11801
DDD_2014J,-25,13879
DDD_2014J,-6,10294
DDD_2014J,-5,13529
DDD_2014J,-4,10875
DDD_2014J,-3,10918
DDD_2014J,-2,10587
DDD_2014J,0,13117
DDD_2014J,1,14282
DDD_2014J,2,17775
DDD_2014J,3,16520
DDD_2014J,4,12946
DDD_2014J,5,13011
DDD_2014J,9,11486
DDD_2014J,10,12826
DDD_2014J,16,11447
DDD_2014J,17,11564
DDD_2014J,18,11196
DDD_2014J,19,12775
DDD_2014J,30,10452
DDD_2014J,31,10483
DDD_2014J,38,10023
DDD_2014J,39,10495
DDD_2014J,40,12928
DDD_2014J,145,10134
DDD_2014J,239,14892
EEE_2013J,-11,11011
EEE_2013J,2,14378
EEE_2013J,3,12680
EEE_2013J,4,11932
EEE_2013J,8,10655
EEE_2013J,9,11528
EEE_2013J,10,11067
EEE_2013J,12,13396
EEE_2013J,13,12749
EEE_2013J,14,11131
EEE_2013J,15,18639
EEE_2013J,16,21509
EEE_2013J,17,21028
EEE_2013J,18,22707
EEE_2013J,19,25061
EEE_2013J,29,12413
EEE_2013J,30,14468
EEE_2013J,31,15705
EEE_2013J,32,16822
EEE_2013J,33,11433
EEE_2013J,65,10626
EEE_2013J,66,11365
EEE_2013J,67,12303
EEE_2013J,121,11843
EEE_2013J,122,12349
EEE_2013J,123,13484
EEE_2013J,135,10334
EEE_2013J,143,10345
EEE_2013J,148,10184
EEE_2013J,149,10919
EEE_2013J,150,11595
EEE_2013J,151,13600
EEE_2013J,152,11316
EEE_2013J,154,10285
EEE_2013J,155,15272
EEE_2013J,156,20274
EEE_2013J,157,19660
EEE_2013J,158,22102
EEE_2013J,159,12984
EEE_2014B,16,10485
EEE_2014B,18,11887
EEE_2014B,19,15547
EEE_2014B,150,11443
EEE_2014B,151,11757
EEE_2014J,1,10599
EEE_2014J,2,14193
EEE_2014J,3,12651
EEE_2014J,4,10512
EEE_2014J,5,11258
EEE_2014J,8,11449
EEE_2014J,9,12668
EEE_2014J,10,12262
EEE_2014J,11,11262
EEE_2014J,12,10937
EEE_2014J,14,10757
EEE_2014J,15,16325
EEE_2014J,16,20986
EEE_2014J,17,19405
EEE_2014J,18,21311
EEE_2014J,19,23674
EEE_2014J,29,10868
EEE_2014J,30,12871
EEE_2014J,31,13530
EEE_2014J,32,14138
EEE_2014J,33,10808
EEE_2014J,64,10669
EEE_2014J,65,11888
EEE_2014J,66,13369
EEE_2014J,67,16395
EEE_2014J,68,10450
EEE_2014J,128,10904
EEE_2014J,129,11339
EEE_2014J,130,12714
EEE_2014J,142,10933
EEE_2014J,143,11217
EEE_2014J,149,11539
EEE_2014J,150,10563
EEE_2014J,151,10347
EEE_2014J,152,10400
EEE_2014J,155,10554
EEE_2014J,156,13985
EEE_2014J,157,13612
EEE_2014J,158,13045
EEE_2014J,159,11935
EEE_2014J,160,11137
EEE_2014J,161,13028
EEE_2014J,162,16386
EEE_2014J,163,23052
EEE_2014J,164,23404
EEE_2014J,165,26164
EEE_2014J,166,16680
FFF_2013B,-18,29371
FFF_2013B,-17,15232
FFF_2013B,-16,12768
FFF_2013B,-12,11883
FFF_2013B,-11,12044
FFF_2013B,-10,10853
FFF_2013B,-9,11077
FFF_2013B,-6,10388
FFF_2013B,-5,15440
FFF_2013B,-4,16281
FFF_2013B,-3,16737
FFF_2013B,-2,16306
FFF_2013B,-1,19182
FFF_2013B,0,21823
FFF_2013B,1,32504
FFF_2013B,2,30852
FFF_2013B,3,28027
FFF_2013B,4,25794
FFF_2013B,5,23885
FFF_2013B,6,14970
FFF_2013B,7,19726
FFF_2013B,8,26268
FFF_2013B,9,28312
FFF_2013B,10,28470
FFF_2013B,11,24072
FFF_2013B,12,20170
FFF_2013B,13,19701
FFF_2013B,14,22968
FFF_2013B,15,35752
FFF_2013B,16,40688
FFF_2013B,17,43319
FFF_2013B,18,46913
FFF_2013B,19,32570
FFF_2013B,20,21254
FFF_2013B,21,20386
FFF_2013B,22,28798
FFF_2013B,23,29900
FFF_2013B,24,28526
FFF_2013B,25,24037
FFF_2013B,26,20450
FFF_2013B,27,15851
FFF_2013B,28,16766
FFF_2013B,29,23357
FFF_2013B,30,25190
FFF_2013B,31,22829
FFF_2013B,32,22037
FFF_2013B,33,20603
FFF_2013B,34,17193
FFF_2013B,35,18681
FFF_2013B,36,19395
FFF_2013B,37,23993
FFF_2013B,38,23565
FFF_2013B,39,20558
FFF_2013B,40,19634
FFF_2013B,41,16244
FFF_2013B,42,19173
FFF_2013B,43,24942
FFF_2013B,44,28436
FFF_2013B,45,32454
FFF_2013B,46,34733
FFF_2013B,47,30148
FFF_2013B,48,14898
FFF_2013B,49,17451
FFF_2013B,50,18172
FFF_2013B,51,20583
FFF_2013B,52,17446
FFF_2013B,53,15352
FFF_2013B,54,14198
FFF_2013B,55,13215
FFF_2013B,56,10386
FFF_2013B,57,10665
FFF_2013B,58,13346
FFF_2013B,59,13769
FFF_2013B,60,14280
FFF_2013B,61,12402
FFF_2013B,62,10026
FFF_2013B,63,10357
FFF_2013B,64,12722
FFF_2013B,65,13271
FFF_2013B,66,15018
FFF_2013B,67,14117
FFF_2013B,68,13834
FFF_2013B,69,10440
FFF_2013B,70,11391
FFF_2013B,71,13411
FFF_2013B,72,15472
FFF_2013B,73,15320
FFF_2013B,74,14518
FFF_2013B,75,13886
FFF_2013B,76,11049
FFF_2013B,77,10203
FFF_2013B,78,14602
FFF_2013B,79,17066
FFF_2013B,80,17895
FFF_2013B,81,16043
FFF_2013B,82,15065
FFF_2013B,83,12550
FFF_2013B,84,16844
FFF_2013B,85,20463
FFF_2013B,86,24144
FFF_2013B,87,24370
FFF_2013B,88,29914
FFF_2013B,89,21924
FFF_2013B,90,13147
FFF_2013B,91,11390
FFF_2013B,92,11870
FFF_2013B,93,14025
FFF_2013B,94,16524
FFF_2013B,95,16050
FFF_2013B,96,15387
FFF_2013B,99,11427
FFF_2013B,100,14757
FFF_2013B,101,14719
FFF_2013B,102,12853
FFF_2013B,103,11420
FFF_2013B,105,10495
FFF_2013B,107,11085
FFF_2013B,108,11348
FFF_2013B,109,10716
FFF_2013B,114,10902
FFF_2013B,115,14129
FFF_2013B,116,11926
FFF_2013B,117,11039
FFF_2013B,120,12746
FFF_2013B,121,14956
FFF_2013B,122,15238
FFF_2013B,123,15737
FFF_2013B,124,17851
FFF_2013B,125,11683
FFF_2013B,126,14042
FFF_2013B,127,19551
FFF_2013B,128,25131
FFF_2013B,129,28337
FFF_2013B,130,30671
FFF_2013B,131,21014
FFF_2013B,132,10637
FFF_2013B,133,13809
FFF_2013B,134,13868
FFF_2013B,135,19651
FFF_2013B,136,17317
FFF_2013B,137,16810
FFF_2013B,138,15368
FFF_2013B,139,12893
FFF_2013B,140,17659
FFF_2013B,141,17705
FFF_2013B,142,17149
FFF_2013B,143,18204
FFF_2013B,144,15079
FFF_2013B,145,15813
FFF_2013B,146,10664
FFF_2013B,147,11138
FFF_2013B,148,14008
FFF_2013B,149,17657
FFF_2013B,150,19314
FFF_2013B,151,14883
FFF_2013B,152,19913
FFF_2013B,153,12217
FFF_2013B,155,10516
FFF_2013B,156,17362
FFF_2013B,157,15285
FFF_2013B,158,15615
FFF_2013B,159,13889
FFF_2013B,160,11705
FFF_2013B,161,11676
FFF_2013B,162,17900
FFF_2013B,163,21099
FFF_2013B,164,21590
FFF_2013B,165,26624
FFF_2013B,166,19167
FFF_2013B,167,10434
FFF_2013B,168,10427
FFF_2013B,169,14099
FFF_2013B,170,14966
FFF_2013B,171,13800
FFF_2013B,172,14205
FFF_2013B,173,10731
FFF_2013B,174,10290
FFF_2013B,176,11927
FFF_2013B,177,13441
FFF_2013B,178,13121
FFF_2013B,179,12262
FFF_2013B,180,11756
FFF_2013B,183,14591
FFF_2013B,184,16733
FFF_2013B,185,15347
FFF_2013B,186,13869
FFF_2013B,187,11297
FFF_2013B,188,10121
FFF_2013B,190,10741
FFF_2013B,191,13973
FFF_2013B,192,12954
FFF_2013B,193,11948
FFF_2013B,194,17288
FFF_2013B,195,11934
FFF_2013B,196,13065
FFF_2013B,197,14280
FFF_2013B,198,14989
FFF_2013B,199,15274
FFF_2013B,200,15661
FFF_2013B,201,16586
FFF_2013B,202,10677
FFF_2013B,203,13554
FFF_2013B,204,14569
FFF_2013B,205,18246
FFF_2013B,206,23728
FFF_2013B,207,18433
FFF_2013B,208,17298
FFF_2013B,209,11877
FFF_2013B,210,16109
FFF_2013B,211,19706
FFF_2013B,212,25226
FFF_2013B,213,25025
FFF_2013B,214,25702
FFF_2013B,215,22665
FFF_2013B,216,21844
FFF_2013B,217,26676
FFF_2013B,218,37463
FFF_2013B,219,41007
FFF_2013B,220,43986
FFF_2013B,221,56837
FFF_2013B,222,45747
FFF_2013J,-18,26322
FFF_2013J,-17,13601
FFF_2013J,-16,11305
FFF_2013J,-12,11526
FFF_2013J,-10,10554
FFF_2013J,-5,11126
FFF_2013J,-4,15182
FFF_2013J,-3,12734
FFF_2013J,-2,24186
FFF_2013J,-1,27977
FFF_2013J,0,35087
FFF_2013J,1,36598
FFF_2013J,2,41579
FFF_2013J,3,41343
FFF_2013J,4,36903
FFF_2013J,5,31376
FFF_2013J,6,28101
FFF_2013J,7,26232
FFF_2013J,8,33541
FFF_2013J,9,38851
FFF_2013J,10,31092
FFF_2013J,11,33167
FFF_2013J,12,30842
FFF_2013J,13,25370
FFF_2013J,14,30388
FFF_2013J,15,40649
FFF_2013J,16,50926
FFF_2013J,17,51244
FFF_2013J,18,58175
FFF_2013J,19,41858
FFF_2013J,20,29291
FFF_2013J,21,29823
FFF_2013J,22,33314
FFF_2013J,23,37715
FFF_2013J,24,33818
FFF_2013J,25,28925
FFF_2013J,26,25545
FFF_2013J,27,22559
FFF_2013J,28,22223
FFF_2013J,29,29505
FFF_2013J,30,32858
FFF_2013J,31,31528
FFF_2013J,32,28288
FFF_2013J,33,26266
FFF_2013J,34,20570
FFF_2013J,35,21045
FFF_2013J,36,27288
FFF_2013J,37,30383
FFF_2013J,38,28581
FFF_2013J,39,28585
FFF_2013J,40,25831
FFF_2013J,41,18809
FFF_2013J,42,19613
FFF_2013J,43,29945
FFF_2013J,44,35649
FFF_2013J,45,34168
FFF_2013J,46,42867
FFF_2013J,47,36037
FFF_2013J,48,18769
FFF_2013J,49,18705
FFF_2013J,50,24590
FFF_2013J,51,24757
FFF_2013J,52,23978
FFF_2013J,53,27192
FFF_2013J,54,22389
FFF_2013J,55,15010
FFF_2013J,56,14641
FFF_2013J,57,17431
FFF_2013J,58,20027
FFF_2013J,59,18028
FFF_2013J,60,16655
FFF_2013J,61,14335
FFF_2013J,62,12614
FFF_2013J,63,10931
FFF_2013J,64,14851
FFF_2013J,65,19892
FFF_2013J,66,18902
FFF_2013J,67,15383
FFF_2013J,68,14568
FFF_2013J,71,13024
FFF_2013J,72,16406
FFF_2013J,73,16161
FFF_2013J,74,13054
FFF_2013J,75,11607
FFF_2013J,84,10902
FFF_2013J,85,12052
FFF_2013J,86,15882
FFF_2013J,87,12068
FFF_2013J,88,10315
FFF_2013J,89,19705
FFF_2013J,90,17452
FFF_2013J,91,17611
FFF_2013J,92,25144
FFF_2013J,93,27303
FFF_2013J,94,31043
FFF_2013J,95,36325
FFF_2013J,96,33876
FFF_2013J,97,17257
FFF_2013J,98,17089
FFF_2013J,99,20154
FFF_2013J,100,22843
FFF_2013J,101,19515
FFF_2013J,102,20412
FFF_2013J,103,19205
FFF_2013J,104,16734
FFF_2013J,105,14010
FFF_2013J,106,17707
FFF_2013J,107,21113
FFF_2013J,108,17467
FFF_2013J,109,17948
FFF_2013J,110,15511
FFF_2013J,111,12276
FFF_2013J,112,10667
FFF_2013J,113,15851
FFF_2013J,114,17726
FFF_2013J,115,14170
FFF_2013J,116,13888
FFF_2013J,117,12579
FFF_2013J,120,12637
FFF_2013J,121,15537
FFF_2013J,122,15641
FFF_2013J,123,15129
FFF_2013J,124,15508
FFF_2013J,125,11271
FFF_2013J,126,15118
FFF_2013J,127,20662
FFF_2013J,128,24541
FFF_2013J,129,33082
FFF_2013J,130,38763
FFF_2013J,131,24837
FFF_2013J,132,11662
FFF_2013J,133,11987
FFF_2013J,134,16380
FFF_2013J,135,19734
FFF_2013J,136,17757
FFF_2013J,137,18619
FFF_2013J,138,17883
FFF_2013J,139,15331
FFF_2013J,140,14292
FFF_2013J,141,19530
FFF_2013J,142,23181
FFF_2013J,143,23253
FFF_2013J,144,20861
FFF_2013J,145,17321
FFF_2013J,146,14377
FFF_2013J,147,15520
FFF_2013J,148,17794
FFF_2013J,149,21647
FFF_2013J,150,20236
FFF_2013J,151,20558
FFF_2013J,152,25790
FFF_2013J,153,15106
FFF_2013J,154,16258
FFF_2013J,155,21824
FFF_2013J,156,22142
FFF_2013J,157,18613
FFF_2013J,158,19518
FFF_2013J,159,15422
FFF_2013J,160,11651
FFF_2013J,161,10562
FFF_2013J,162,13680
FFF_2013J,163,18801
FFF_2013J,164,18276
FFF_2013J,165,17802
FFF_2013J,166,16110
FFF_2013J,167,14438
FFF_2013J,168,14220
FFF_2013J,169,18768
FFF_2013J,170,24111
FFF_2013J,171,25711
FFF_2013J,172,30392
FFF_2013J,173,22934
FFF_2013J,174,10315
FFF_2013J,177,17497
FFF_2013J,178,14902
FFF_2013J,179,16473
FFF_2013J,180,16282
FFF_2013J,181,11150
FFF_2013J,183,13133
FFF_2013J,184,15835
FFF_2013J,185,14088
FFF_2013J,186,10888
FFF_2013J,188,10938
FFF_2013J,191,12191
FFF_2013J,192,11388
FFF_2013J,193,13315
FFF_2013J,194,12721
FFF_2013J,197,10796
FFF_2013J,198,13045
FFF_2013J,199,13111
FFF_2013J,200,14344
FFF_2013J,201,12226
FFF_2013J,203,11448
FFF_2013J,204,13700
FFF_2013J,205,15686
FFF_2013J,206,14879
FFF_2013J,207,13052
FFF_2013J,208,20994
FFF_2013J,209,12739
FFF_2013J,210,11108
FFF_2013J,211,16113
FFF_2013J,212,25031
FFF_2013J,213,24169
FFF_2013J,214,22252
FFF_2013J,215,18654
FFF_2013J,216,14464
FFF_2013J,217,19690
FFF_2013J,218,23997
FFF_2013J,219,23244
FFF_2013J,220,17923
FFF_2013J,221,18734
FFF_2013J,222,17396
FFF_2013J,223,14293
FFF_2013J,224,18449
FFF_2013J,225,21239
FFF_2013J,226,26088
FFF_2013J,227,23943
FFF_2013J,228,21172
FFF_2013J,229,21865
FFF_2013J,230,18385
FFF_2013J,231,24434
FFF_2013J,232,30691
FFF_2013J,233,48401
FFF_2013J,234,49777
FFF_2013J,235,54672
FFF_2013J,236,45182
FFF_2014B,-18,13344
FFF_2014B,-2,10435
FFF_2014B,-1,11155
FFF_2014B,0,23062
FFF_2014B,1,25756
FFF_2014B,2,24829
FFF_2014B,3,24187
FFF_2014B,4,21414
FFF_2014B,5,19645
FFF_2014B,6,17753
FFF_2014B,7,16969
FFF_2014B,8,18605
FFF_2014B,9,20725
FFF_2014B,10,20984
FFF_2014B,11,18121
FFF_2014B,12,18397
FFF_2014B,13,14402
FFF_2014B,14,17134
FFF_2014B,15,19421
FFF_2014B,16,22884
FFF_2014B,17,22211
FFF_2014B,18,24841
FFF_2014B,19,20409
FFF_2014B,20,18645
FFF_2014B,21,19929
FFF_2014B,22,30063
FFF_2014B,23,34114
FFF_2014B,24,25096
FFF_2014B,25,19462
FFF_2014B,26,15951
FFF_2014B,27,12787
FFF_2014B,28,12122
FFF_2014B,29,16548
FFF_2014B,30,20682
FFF_2014B,31,17882
FFF_2014B,32,17732
FFF_2014B,33,16584
FFF_2014B,34,11815
FFF_2014B,35,12016
FFF_2014B,36,14997
FFF_2014B,37,15200
FFF_2014B,38,13547
FFF_2014B,39,12409
FFF_2014B,40,11911
FFF_2014B,43,12493
FFF_2014B,44,14055
FFF_2014B,45,14213
FFF_2014B,46,14016
FFF_2014B,47,12950
FFF_2014B,48,12047
FFF_2014B,49,18028
FFF_2014B,50,23579
FFF_2014B,51,28424
FFF_2014B,52,22583
FFF_2014B,53,15194
FFF_2014B,54,12703
FFF_2014B,55,11049
FFF_2014B,58,12126
FFF_2014B,59,12148
FFF_2014B,60,11593
FFF_2014B,61,10364
FFF_2014B,65,12205
FFF_2014B,66,12758
FFF_2014B,67,11592
FFF_2014B,68,10410
FFF_2014B,73,10059
FFF_2014B,79,10518
FFF_2014B,80,11694
FFF_2014B,81,12386
FFF_2014B,82,10556
FFF_2014B,84,12506
FFF_2014B,85,16773
FFF_2014B,86,21826
FFF_2014B,87,14109
FFF_2014B,93,12584
FFF_2014B,94,12997
FFF_2014B,95,12230
FFF_2014B,96,12708
FFF_2014B,100,12165
FFF_2014B,124,10910
FFF_2014B,126,12658
FFF_2014B,127,17269
FFF_2014B,128,24346
FFF_2014B,129,18040
FFF_2014B,130,10601
FFF_2014B,135,12955
FFF_2014B,136,12413
FFF_2014B,137,11419
FFF_2014B,141,11500
FFF_2014B,142,13624
FFF_2014B,143,13910
FFF_2014B,144,12340
FFF_2014B,147,10763
FFF_2014B,148,13554
FFF_2014B,149,13103
FFF_2014B,151,11775
FFF_2014B,152,10624
FFF_2014B,156,11022
FFF_2014B,157,10613
FFF_2014B,164,11104
FFF_2014B,165,11044
FFF_2014B,166,10306
FFF_2014B,169,13165
FFF_2014B,170,19218
FFF_2014B,171,14823
FFF_2014B,177,10948
FFF_2014B,179,11320
FFF_2014B,186,10533
FFF_2014B,191,10474
FFF_2014B,192,13262
FFF_2014B,193,12454
FFF_2014B,194,12688
FFF_2014B,197,10526
FFF_2014B,198,10682
FFF_2014B,199,12080
FFF_2014B,200,11362
FFF_2014B,205,13742
FFF_2014B,206,12567
FFF_2014B,207,13960
FFF_2014B,208,10597
FFF_2014B,209,10767
FFF_2014B,211,13557
FFF_2014B,212,11276
FFF_2014B,213,12960
FFF_2014B,215,11684
FFF_2014B,216,10643
FFF_2014B,217,10133
FFF_2014B,220,19429
FFF_2014B,221,19833
FFF_2014B,222,17700
FFF_2014B,223,19484
FFF_2014B,224,25785
FFF_2014B,225,35088
FFF_2014B,226,41598
FFF_2014B,227,29939
FFF_2014J,-18,26946
FFF_2014J,-17,13120
FFF_2014J,-5,13185
FFF_2014J,-4,15128
FFF_2014J,-3,16141
FFF_2014J,-2,22275
FFF_2014J,-1,22150
FFF_2014J,0,39533
FFF_2014J,1,35492
FFF_2014J,2,47077
FFF_2014J,3,40098
FFF_2014J,4,35586
FFF_2014J,5,31580
FFF_2014J,6,26934
FFF_2014J,7,25886
FFF_2014J,8,30100
FFF_2014J,9,35971
FFF_2014J,10,32170
FFF_2014J,11,31415
FFF_2014J,12,28374
FFF_2014J,13,26192
FFF_2014J,14,25752
FFF_2014J,15,37280
FFF_2014J,16,42459
FFF_2014J,17,40717
FFF_2014J,18,39727
FFF_2014J,19,33008
FFF_2014J,20,30354
FFF_2014J,21,33092
FFF_2014J,22,47148
FFF_2014J,23,50914
FFF_2014J,24,38717
FFF_2014J,25,29291
FFF_2014J,26,25404
FFF_2014J,27,19457
FFF_2014J,28,22678
FFF_2014J,29,27060
FFF_2014J,30,29925
FFF_2014J,31,30581
FFF_2014J,32,25885
FFF_2014J,33,25348
FFF_2014J,34,20295
FFF_2014J,35,19865
FFF_2014J,36,23207
FFF_2014J,37,27643
FFF_2014J,38,23496
FFF_2014J,39,23167
FFF_2014J,40,20643
FFF_2014J,41,15328
FFF_2014J,42,19293
FFF_2014J,43,22835
FFF_2014J,44,26846
FFF_2014J,45,26530
FFF_2014J,46,26014
FFF_2014J,47,24699
FFF_2014J,48,21992
FFF_2014J,49,23982
FFF_2014J,50,35174
FFF_2014J,51,44090
FFF_2014J,52,29606
FFF_2014J,53,21397
FFF_2014J,54,17740
FFF_2014J,55,13808
FFF_2014J,56,13507
FFF_2014J,57,15922
FFF_2014J,58,20190
FFF_2014J,59,19071
FFF_2014J,60,19079
