"code_module","code_presentation","id_student","id_site","date","sum_click"
"EEE","2014J","644246","832565","112","1"
"CCC","2014J","549783","909013","-4","1"
"DDD","2014J","681923","813983","96","1"
"EEE","2013J","565883","551032","112","1"
"DDD","2014J","432642","813706","107","2"
"FFF","2014B","630937","779089","165","1"
"GGG","2014B","31107","798669","93","1"
"DDD","2014B","622614","772729","38","4"
"FFF","2013J","2543208","716653","38","1"
"DDD","2013J","597365","673537","54","1"
"DDD","2014B","1612600","773002","34","7"
"BBB","2014J","604358","926331","165","7"
"GGG","2014B","548578","798620","9","3"
"GGG","2013J","122846","661603","101","2"
"FFF","2014J","676610","882596","130","41"
"FFF","2013B","526896","526721","123","6"
"DDD","2013J","441444","673727","77","1"
"DDD","2013J","482868","673519","38","4"
"EEE","2013J","599958","551173","167","1"
"DDD","2013B","556785","547946","40","2"
"BBB","2014J","692384","942393","92","2"
"DDD","2013J","243372","674297","73","1"
"BBB","2013J","607937","703732","112","3"
"DDD","2014B","152320","772705","79","1"
"FFF","2013J","424171","716253","101","7"
"DDD","2014B","570049","773031","196","3"
"CCC","2014B","553394","730035","133","1"
"FFF","2013J","571859","716660","171","2"
"GGG","2013J","607798","661575","-7","2"
"DDD","2013J","601092","673534","230","1"
"FFF","2013J","515833","716682","199","1"
"DDD","2014J","692426","814300","192","2"
"FFF","2014J","642449","883055","198","1"
"FFF","2014J","494046","882618","73","1"
"CCC","2014J","559863","909013","21","2"
"FFF","2014J","2282620","882545","39","4"
"DDD","2014J","654807","813701","192","3"
"FFF","2013B","499993","527359","14","1"
"DDD","2014B","623257","772995","34","3"
"FFF","2014J","626033","882581","84","1"
"DDD","2013J","474902","674056","-10","1"
"DDD","2013J","571640","673539","101","1"
"FFF","2014B","618005","779379","-3","1"
"FFF","2013B","559642","526807","217","1"
"BBB","2014J","684098","913690","18","1"
"FFF","2013J","29335","716646","68","2"
"CCC","2014B","624445","729779","49","10"
"DDD","2014J","682740","813956","235","1"
"DDD","2013B","467822","547577","25","1"
"GGG","2013J","600895","661703","107","1"
"DDD","2013J","573712","673537","29","1"
"BBB","2014J","586516","913602","230","1"
"GGG","2014B","634369","798681","187","33"
"DDD","2013J","517093","674427","22","1"
"DDD","2014J","328241","814137","31","1"
"DDD","2013J","156783","673526","84","1"
"AAA","2013J","1970390","546651","122","6"
"CCC","2014B","357176","729680","228","1"
"BBB","2014J","648386","913664","21","1"
"DDD","2014J","2605337","813701","166","4"
"DDD","2013J","334255","673728","113","2"
"CCC","2014J","368436","909032","107","2"
"FFF","2013B","553500","526721","73","2"
"CCC","2014J","643514","909087","-16","1"
"CCC","2014J","632083","909283","92","1"
"BBB","2013B","185349","542864","18","5"
"BBB","2013B","552017","543212","118","1"
"FFF","2014B","630868","779529","13","1"
"FFF","2013J","584546","716640","-4","2"
"FFF","2013B","553963","526721","179","4"
"FFF","2013J","544207","716217","83","1"
"FFF","2014B","610094","779342","112","4"
"CCC","2014B","385387","729794","221","1"
"DDD","2014B","632115","772988","8","7"
"GGG","2013J","610557","661693","0","1"
"FFF","2014B","616913","779089","-3","13"
"CCC","2014B","519589","729787","15","1"
"FFF","2014J","402695","882547","28","1"
"FFF","2013J","581574","716277","7","1"
"EEE","2014J","651828","832566","142","3"
"CCC","2014J","614458","909018","151","4"
"FFF","2014J","556126","882671","233","15"
"EEE","2014J","581851","832567","193","3"
"EEE","2013J","588835","551073","157","7"
"EEE","2014J","563046","832736","227","1"
"FFF","2013B","511762","526738","12","2"
"CCC","2014J","599176","909087","102","1"
"BBB","2013B","545480","542811","29","4"
"EEE","2013J","427413","551012","2","4"
"FFF","2014B","620320","779089","8","1"
"FFF","2014J","646074","883081","24","1"
"CCC","2014B","572854","729785","194","25"
"DDD","2013J","583955","673540","195","1"
"FFF","2014J","479939","882629","151","2"
"BBB","2014J","444768","913690","146","2"
"FFF","2013J","110881","716899","141","2"
"DDD","2013J","520891","674004","156","1"
"EEE","2014B","615229","790737","37","1"
"BBB","2014J","652288","913473","10","10"
"FFF","2013J","572003","716825","103","1"
"DDD","2014J","640942","813929","168","1"
"FFF","2014J","696347","882638","207","4"
"BBB","2014B","627027","768348","30","10"
"FFF","2013B","498554","526721","130","13"
"FFF","2013J","171304","716864","0","1"
"AAA","2014J","345519","877070","112","2"
"FFF","2014J","678628","883037","191","1"
"CCC","2014B","117232","729683","229","1"
"FFF","2013J","55419","716238","15","1"
"AAA","2014J","384203","877049","214","3"
"FFF","2013B","539332","527113","61","1"
"DDD","2014J","608775","813996","165","1"
"FFF","2013J","568774","716444","46","2"
"DDD","2013B","556780","547272","86","1"
"FFF","2013J","581135","716222","9","1"
"BBB","2014J","582964","913468","-5","6"
"DDD","2013J","493404","673536","221","1"
"EEE","2013J","472336","551011","255","1"
"BBB","2013J","590362","703894","36","1"
"DDD","2013J","540806","673739","21","2"
"FFF","2013B","556429","526857","14","1"
"FFF","2013B","525512","526721","207","5"
"DDD","2014J","632831","813701","23","1"
"FFF","2013B","2676920","527179","172","1"
"DDD","2013B","554300","547546","52","12"
"BBB","2013J","233752","703741","206","4"
"FFF","2013J","579064","716219","24","1"
"AAA","2014J","254625","877387","18","1"
"CCC","2014J","675374","909013","16","7"
"BBB","2014J","596496","913474","5","2"
"FFF","2014B","627247","779674","115","2"
"FFF","2013J","475253","716306","178","1"
"BBB","2013J","593694","704112","221","1"
"FFF","2013B","546412","526738","50","1"
"DDD","2014B","624007","772705","228","6"
"CCC","2014B","612119","729784","101","1"
"CCC","2014B","599958","729673","31","1"
"FFF","2013J","523680","716238","215","7"
"FFF","2013J","596147","716440","24","1"
"DDD","2014J","634037","813936","2","1"
"CCC","2014B","576413","729683","105","3"
"FFF","2014B","547506","779089","141","7"
"AAA","2014J","2369415","877038","118","1"
"BBB","2014J","691717","913481","40","1"
"BBB","2014J","2216778","913527","24","1"
"EEE","2014J","656057","832700","214","19"
"BBB","2014B","628389","768400","40","1"
"FFF","2014J","683033","882551","121","1"
"BBB","2014B","612721","768351","33","1"
"FFF","2014J","286778","882554","28","6"
"BBB","2013J","561841","703732","34","1"
"EEE","2014J","698413","832780","26","1"
"FFF","2013J","586808","716216","183","1"
"CCC","2014J","584281","909284","14","2"
"FFF","2013B","556133","526782","116","4"
"DDD","2014J","575380","813710","51","11"
"FFF","2013B","1905259","527421","150","2"
"FFF","2013J","400266","716216","44","2"
"DDD","2013B","2377623","547712","-10","1"
"FFF","2014B","629938","779351","111","1"
"FFF","2013J","557044","716671","16","4"
"FFF","2013B","550246","527468","83","1"
"EEE","2013J","66713","551011","32","1"
"FFF","2014B","383778","779587","29","1"
"DDD","2014J","595396","813701","15","5"
"FFF","2014J","419059","973777","158","1"
"CCC","2014B","633250","729671","63","1"
"EEE","2014B","610234","790903","191","3"
"EEE","2013J","1561750","551172","14","1"
"FFF","2014B","621436","779261","222","1"
"BBB","2013J","599785","704069","229","2"
"BBB","2014J","532779","913473","141","7"
"FFF","2014B","617734","779630","87","1"
"EEE","2014J","698355","832676","225","5"
"DDD","2013J","469553","674306","163","1"
"BBB","2014B","635591","768351","103","3"
"DDD","2013B","512861","547959","14","1"
"FFF","2014J","443151","882545","23","4"
"BBB","2014J","699651","913537","25","1"
"FFF","2013J","524845","716433","227","1"
"GGG","2014J","648274","896967","159","15"
"EEE","2013J","35355","551010","203","2"
"FFF","2013B","478660","526721","230","2"
"FFF","2014J","646074","882638","241","1"
"EEE","2013J","270638","551010","185","1"
"BBB","2013B","556502","542864","197","1"
"EEE","2014J","398019","832680","148","9"
"FFF","2014B","2585330","779075","8","5"
"FFF","2014J","560645","883037","142","2"
"FFF","2014B","585921","779089","192","8"
"BBB","2013J","382920","703894","39","1"
"EEE","2013J","610855","551162","-2","1"
"FFF","2014B","392207","779671","78","1"
"BBB","2013B","116603","542864","179","2"
"FFF","2014B","371168","779391","28","1"
"FFF","2013B","508749","526823","15","6"
"FFF","2013J","233087","716220","239","1"
"FFF","2013J","348717","716441","208","54"
"DDD","2013B","499557","547272","45","3"
"AAA","2014J","402961","877030","101","5"
"EEE","2014B","626055","790732","110","4"
"AAA","2013J","1970390","546649","181","1"
"CCC","2014J","655378","909013","112","5"
"EEE","2014J","561413","832567","227","13"
"DDD","2014B","578595","773244","128","1"
"FFF","2013J","532121","716238","122","5"
"FFF","2013B","548759","526737","51","1"
"CCC","2014J","587122","909087","14","1"
"DDD","2014J","676538","813978","78","1"
"AAA","2013J","1488959","546614","39","4"
"DDD","2013J","331404","673519","166","3"
"FFF","2013J","168229","716682","60","1"
"FFF","2014J","686786","882592","95","1"
"AAA","2014J","273346","877030","210","2"
"AAA","2014J","2522927","877134","122","1"
"FFF","2014B","626778","779262","107","1"
"BBB","2013B","400469","542795","217","8"
"FFF","2014J","532254","883092","92","5"
"CCC","2014J","512852","909013","144","9"
"GGG","2014J","620239","896938","-3","8"
"EEE","2014B","144745","790863","152","3"
"CCC","2014B","515046","730007","9","1"
"FFF","2014B","630488","779625","27","1"
"CCC","2014J","556440","909303","-14","1"
"FFF","2013B","426465","527230","129","2"
"BBB","2013J","511678","703741","195","14"
"DDD","2013J","561881","673537","193","1"
"DDD","2014J","586315","813710","34","2"
"EEE","2014J","642342","832762","150","2"
"FFF","2014B","628034","779620","96","3"
"BBB","2014J","652090","913515","204","28"
"DDD","2013B","539328","547306","145","1"
"CCC","2014B","544839","729779","63","3"
"FFF","2013J","33600","716238","26","2"
"FFF","2014B","83603","779347","36","10"
"DDD","2014J","477354","814069","216","1"
"FFF","2013J","588261","716440","31","8"
"FFF","2014B","545637","779075","125","1"
"CCC","2014J","690948","909087","-17","2"
"FFF","2014B","440559","779078","54","1"
"EEE","2014J","630105","832565","17","1"
"AAA","2014J","58071","877055","150","4"
"DDD","2013J","491110","673542","42","1"
"FFF","2013B","496491","527215","76","1"
"DDD","2013B","549795","547309","-5","1"
"DDD","2013J","317096","673519","-14","1"
"FFF","2013B","539759","527114","9","6"
"BBB","2013J","574250","703939","43","1"
"FFF","2014J","687410","882596","110","5"
"DDD","2014J","685458","813701","5","1"
"BBB","2013J","566346","704203","-6","1"
"EEE","2014J","678419","832676","225","5"
"FFF","2014J","550703","883043","140","3"
"DDD","2013J","552747","673542","42","2"
"FFF","2014B","104316","779620","-2","1"
"BBB","2014J","532779","913534","7","1"
"DDD","2013J","282317","673519","153","4"
"EEE","2014J","655924","832676","227","1"
"FFF","2013J","603155","716219","198","2"
"CCC","2014J","644828","909096","17","1"
"BBB","2013B","539891","542864","2","3"
"BBB","2013B","556997","542811","120","1"
"FFF","2013J","600175","716444","36","1"
"FFF","2013B","550792","526738","181","1"
"BBB","2013B","416007","542811","46","1"
"BBB","2013J","561549","703737","22","2"
"CCC","2014J","655108","909240","108","1"
"EEE","2014J","688924","832676","207","2"
"DDD","2013J","385495","674293","-17","1"
"FFF","2013B","89895","527261","158","1"
"EEE","2014B","602721","790934","66","6"
"FFF","2013J","590980","716222","135","3"
"BBB","2014J","145280","913491","139","1"
"FFF","2013J","581616","716660","21","1"
"CCC","2014J","478513","909332","101","1"
"DDD","2014B","492095","773030","156","1"
"GGG","2014B","631277","798636","191","1"
"EEE","2013J","588710","551079","-11","2"
"FFF","2014B","618015","779369","127","20"
"CCC","2014B","205398","730054","-16","1"
"FFF","2013J","341470","716238","62","2"
"FFF","2013B","554256","526721","23","2"
"BBB","2014J","586652","913694","231","4"
"BBB","2014B","629504","768348","223","5"
"CCC","2014J","644416","909013","220","2"
"CCC","2014J","1738582","909019","40","6"
"FFF","2013J","573291","716238","2","5"
"FFF","2013J","601583","716216","51","2"
"DDD","2013J","2204293","674118","151","1"
"FFF","2014J","379278","883040","0","2"
"EEE","2014J","688287","832651","145","1"
"DDD","2014J","685611","813710","39","4"
"FFF","2014J","640329","882537","48","10"
"BBB","2014B","604962","768336","127","1"
"GGG","2014B","625446","798622","61","8"
"CCC","2014J","633647","909094","221","1"
"FFF","2013J","564702","716271","161","4"
"DDD","2013J","537747","674054","193","1"
"FFF","2013J","372262","716432","148","35"
"CCC","2014B","569108","729671","239","1"
"EEE","2013J","591869","551024","44","4"
"FFF","2014B","602854","779620","9","1"
"FFF","2014J","678954","883037","79","2"
"EEE","2014J","633824","832713","145","1"
"FFF","2014J","695869","882947","72","1"
"BBB","2013J","262639","703721","-3","1"
"CCC","2014B","2030117","730019","23","8"
"BBB","2014B","437171","768380","174","7"
"BBB","2014J","643172","913473","110","3"
"FFF","2014B","276265","779379","50","24"
"DDD","2013B","86047","547303","51","4"
"FFF","2013J","594119","716216","25","1"
"DDD","2013B","528184","547546","46","1"
"BBB","2013B","537434","542864","-9","16"
"FFF","2013J","563787","716650","94","2"
"BBB","2014J","648201","913466","47","1"
"BBB","2013J","491279","703732","241","6"
"FFF","2014J","64427","882537","73","9"
"CCC","2014J","293162","909019","27","1"
"GGG","2013J","596527","661575","12","1"
"DDD","2013B","481549","547272","131","2"
"BBB","2014J","582964","913466","234","7"
"DDD","2013J","366449","673733","23","12"
"BBB","2013J","2464683","703737","116","1"
"FFF","2014J","585503","882537","196","3"
"EEE","2014J","651635","832712","18","1"
"EEE","2014B","557700","790738","44","2"
"FFF","2014J","585503","882545","127","1"
"AAA","2013J","1402638","546694","170","4"
"CCC","2014B","543948","729683","95","3"
"DDD","2013J","595659","673537","-4","1"
"AAA","2014J","263952","877025","-17","8"
"BBB","2013J","2034300","703967","162","1"
"BBB","2014J","690366","949689","82","1"
"EEE","2014J","675972","832656","2","1"
"FFF","2014J","643372","882545","4","1"
"BBB","2014J","689287","913468","24","3"
"CCC","2014J","611417","909088","235","8"
"EEE","2014B","633270","790740","32","1"
"FFF","2013J","569107","716216","96","2"
"DDD","2013B","472584","547279","136","1"
"CCC","2014J","303218","909254","-2","2"
"EEE","2013J","554999","551067","31","6"
"FFF","2013J","592203","716219","85","5"
"FFF","2013J","232856","716439","90","1"
"CCC","2014B","2641486","729782","100","1"
"FFF","2013B","558628","527215","50","1"
"FFF","2013J","576205","716238","145","6"
"FFF","2014J","583056","883037","65","1"
"FFF","2014J","654852","882537","87","3"
"FFF","2013J","586784","716649","33","1"
"BBB","2013B","316841","542795","43","3"
"BBB","2014B","397747","768348","82","8"
"FFF","2013J","577042","716375","45","1"
"DDD","2014B","628806","773008","130","13"
"FFF","2013J","178118","716440","9","2"
"BBB","2014J","492979","913473","-9","3"
"BBB","2014B","541769","768336","200","1"
"CCC","2014J","628034","909290","143","1"
"FFF","2014J","682539","973777","238","19"
"FFF","2013J","2412152","716880","3","1"
"FFF","2013J","582494","716263","58","1"
"GGG","2014J","689335","896984","187","32"
"CCC","2014J","2070517","909020","124","4"
"CCC","2014J","432478","909020","17","1"
"GGG","2014B","630946","798635","73","1"
"BBB","2014J","685829","913481","52","2"
"FFF","2013B","68208","527112","161","1"
"AAA","2013J","2229865","546614","117","2"
"DDD","2013B","2642830","547548","12","11"
"FFF","2014J","2020628","882547","116","6"
"EEE","2013J","581716","551011","13","3"
"DDD","2013B","368749","547936","155","1"
"FFF","2014B","625794","779354","169","3"
"GGG","2014B","619363","798688","24","4"
"GGG","2013J","580469","661585","-4","1"
"FFF","2014J","647320","882537","107","2"
"BBB","2014B","406974","768473","1","1"
"BBB","2013J","598986","704218","46","2"
"BBB","2013B","552991","542864","39","2"
"EEE","2014B","70537","790934","47","4"
"CCC","2014J","692363","909071","7","5"
"FFF","2014B","584842","779072","37","2"
"FFF","2014J","155938","883024","96","1"
"BBB","2014J","650433","926333","48","2"
"CCC","2014J","1352733","909013","84","6"
"FFF","2014J","683353","882608","194","2"
"DDD","2013J","522777","674067","100","1"
"BBB","2013B","271036","543040","107","1"
"DDD","2013J","596306","673537","38","3"
"FFF","2014J","558764","882547","207","7"
"DDD","2013B","535831","547612","189","1"
"CCC","2014B","591388","729676","27","3"
"FFF","2013B","479922","526801","55","59"
"DDD","2013B","556835","547912","156","2"
"FFF","2014B","1919240","779089","184","1"
"FFF","2014J","675710","882635","214","2"
"FFF","2014J","654824","882596","100","23"
"BBB","2014J","606391","913468","30","1"
"FFF","2013J","566973","716238","148","1"
"DDD","2014J","649078","813710","212","2"
"FFF","2014B","237182","779265","226","1"
"BBB","2013B","547372","543020","30","1"
"GGG","2013J","585145","661598","194","4"
"DDD","2014B","2558463","773085","163","1"
"FFF","2013J","576512","716216","24","3"
"EEE","2014B","542050","790853","76","1"
"EEE","2014B","618777","790813","158","3"
"BBB","2014J","1835389","913473","59","3"
"DDD","2014J","596322","814279","52","1"
"FFF","2013B","50263","526737","171","4"
"DDD","2013J","527751","674079","32","1"
"CCC","2014J","590397","909014","129","1"
"FFF","2013B","554166","527112","201","1"
"BBB","2014B","633394","768348","68","3"
"FFF","2013B","355738","527526","172","10"
"FFF","2013J","1982166","716238","183","2"
"FFF","2014J","650054","882617","3","1"
"DDD","2013B","335020","547966","23","1"
"FFF","2014B","234796","779652","23","3"
"DDD","2013B","386880","547303","53","4"
"DDD","2014J","676787","814035","214","1"
"CCC","2014J","679431","1019025","249","1"
"FFF","2014J","1887108","882581","61","3"
"FFF","2014J","2678580","882537","32","1"
"FFF","2014J","1948159","882537","91","4"
"BBB","2014B","630090","768340","79","1"
"FFF","2013J","594376","716216","46","6"
"BBB","2014J","574253","913473","113","5"
"FFF","2014J","569876","882566","82","1"
"FFF","2013B","527991","526739","46","1"
"AAA","2013J","2122180","546614","35","2"
"BBB","2013B","2249372","542864","96","6"
"DDD","2013J","590443","673524","16","1"
"BBB","2014B","159293","768348","196","2"
"CCC","2014B","598113","730006","137","18"
"EEE","2014J","656854","973720","151","2"
"BBB","2013J","582578","703737","56","3"
"BBB","2013B","499380","542795","213","1"
"DDD","2014B","909056","773344","90","2"
"FFF","2014J","653381","882537","265","1"
"FFF","2013B","520187","526738","63","2"
"AAA","2014J","998493","877025","192","1"
"FFF","2014J","491126","883037","196","1"
"FFF","2013J","576789","716815","-5","1"
"FFF","2013J","192680","716441","150","17"
"CCC","2014J","2393945","909267","25","1"
"FFF","2013J","2613746","716310","234","2"
"FFF","2013J","564981","716646","77","1"
"FFF","2013J","529862","716341","116","1"
"EEE","2013J","275162","551010","-2","2"
"FFF","2014B","623554","779343","88","4"
"DDD","2013B","391185","547277","177","1"
"FFF","2013B","549420","526845","29","3"
"DDD","2014B","501487","773340","124","1"
"FFF","2013J","587334","716238","95","4"
"CCC","2014J","1483632","957615","187","1"
"BBB","2014B","406974","768584","114","1"
"DDD","2013B","548069","547542","97","2"
"FFF","2014J","197536","882554","50","3"
"FFF","2013B","294679","527115","23","2"
"BBB","2014J","698207","913491","150","20"
"DDD","2014J","2605337","813708","71","2"
"DDD","2013B","285096","547851","-9","1"
"FFF","2014B","362661","779449","227","1"
"BBB","2014J","678661","913464","87","2"
"FFF","2014B","2492787","779264","150","47"
"FFF","2013J","595428","716440","1","3"
"FFF","2014J","558764","883064","197","1"
"BBB","2013J","2111666","704159","92","1"
"DDD","2013B","281118","547967","1","1"
"FFF","2013J","418007","716222","191","1"
"AAA","2013J","2689958","546614","210","3"
"EEE","2013J","2542645","551048","66","1"
"EEE","2014J","625785","832566","36","5"
"BBB","2014J","689406","913497","144","1"
"DDD","2014B","240486","773042","95","1"
"EEE","2014B","555022","790732","235","4"
"DDD","2013B","476964","547272","137","1"
"EEE","2013J","595244","551010","68","2"
"CCC","2014J","475065","909248","187","1"
"GGG","2014B","631201","798832","220","1"
"FFF","2014B","422697","779076","148","3"
"FFF","2013J","608356","716334","142","48"
"FFF","2014B","327616","779653","40","1"
"DDD","2013J","445917","674320","226","1"
"FFF","2013B","554372","526721","31","6"
"AAA","2013J","258894","546657","16","1"
"FFF","2013J","348783","716238","18","10"
"CCC","2014J","1902240","909013","18","3"
"BBB","2013J","595138","704218","229","1"
"AAA","2013J","704156","546883","153","1"
"CCC","2014B","624060","730042","11","1"
"CCC","2014J","576433","909099","239","2"
"CCC","2014J","611417","909099","60","2"
"DDD","2013B","236620","547960","44","1"
"FFF","2013B","550933","527203","124","1"
"BBB","2013B","543356","542807","29","2"
"GGG","2013J","2458203","661575","83","1"
"CCC","2014B","2644404","729787","138","1"
"BBB","2013B","2622465","543065","27","3"
"BBB","2014B","626126","768351","18","6"
"FFF","2013J","609439","716219","157","3"
"FFF","2014B","568954","779433","213","5"
"DDD","2013B","285475","547889","53","1"
"EEE","2013J","2623263","551012","34","1"
"DDD","2013B","545118","547547","64","3"
"AAA","2014J","281636","877094","215","1"
"BBB","2013B","556987","542811","2","17"
"FFF","2013B","166327","527114","45","1"
"FFF","2013J","601184","716238","37","1"
"BBB","2013B","525942","542864","81","2"
"DDD","2013J","439568","674138","209","1"
"BBB","2013J","607642","704071","3","1"
"FFF","2013B","554748","527491","34","1"
"CCC","2014B","584940","729782","226","1"
"FFF","2013B","546925","527117","33","1"
"DDD","2013B","536926","547272","45","1"
"GGG","2014J","652414","896945","228","1"
"FFF","2013B","391822","527114","7","1"
"DDD","2013B","492613","547836","-5","1"
"DDD","2014B","1916140","772994","105","1"
"FFF","2013J","261525","716262","1","2"
"CCC","2014J","472736","909020","95","1"
"BBB","2013J","602014","703894","39","5"
"FFF","2014J","405193","882537","109","2"
"FFF","2013J","2412152","716758","175","1"
"DDD","2013J","266286","674194","15","1"
"BBB","2014B","620128","768351","195","1"
"BBB","2014J","420631","913466","20","5"
"FFF","2014J","648536","882639","35","10"
"FFF","2014J","2378208","882683","240","53"
"FFF","2014B","633983","779433","227","6"
"FFF","2014J","654114","882554","17","2"
"BBB","2013B","116603","542802","185","2"
"FFF","2014J","1871598","882537","105","3"
"BBB","2013B","503491","542811","53","6"
"EEE","2014J","233685","832780","35","1"
"EEE","2013J","483706","551012","242","1"
"FFF","2014B","532413","779265","221","1"
"FFF","2013B","524466","526721","196","11"
"BBB","2013B","548439","543283","92","1"
"FFF","2013J","567880","716216","42","1"
"CCC","2014J","245600","909304","226","1"
"CCC","2014B","1715237","729678","199","1"
"FFF","2013J","607473","716639","58","2"
